category,rank,dataset_index,example_id,question,gold_answer,gold_program,A_program,A_correct,B_program,B_correct,C_reasoning_program,C_independent_program,C_final_program,C_correct,D_reasoning_program,D_independent_program,D_verifier_final_program,D_coordinator_decision,D_final_program,D_correct
A_execution_correct_program_mismatch,1,8,MO/2016/page_19.pdf-1,did altria outperform the s&p 500?,yes,"greater(286.61, 198.09)","subtract(286.61, 100.00), subtract(198.09, 100.00), divide(#0, 100.00), divide(#1, 100.00), greater(#2, #3)",True,"divide(286.61, 198.09)",False,"divide(286.61, 198.09)","divide(286.61, 198.09)","divide(286.61, 198.09)",False,"divide(286.61, 198.09)","divide(286.61, 198.09)","divide(286.61, 198.09)","The question asks whether Altria outperformed the S&P 500, which requires comparing their cumulative total shareholder returns. The evidence shows Altria's return was $286.61 and the S&P 500's was $198.09 as of December 2016. The correct calculation is the ratio of Altria's return to the S&P 500's return. The proposed program divide(286.61, 198.09) correctly computes this ratio, which indicates outperformance (greater than 1). No percentage scaling is needed as the question is about relative performance, not a percentage value.","divide(286.61, 198.09)",False
A_execution_correct_program_mismatch,2,13,JKHY/2019/page_18.pdf-3,was the five year total return of the 2019 peer group greater than the 2018 peer group?,no,"greater(281.09, 286.22)","subtract(281.09, 100.00), subtract(286.22, 100.00), greater(#0, #1)",True,"subtract(281.09, 100.00), divide(#0, 100.00), subtract(286.22, 100.00), divide(#2, 100.00), greater(#1, #3)",True,"subtract(281.09, 100.00), divide(#0, 100.00), subtract(286.22, 100.00), divide(#2, 100.00)",,,False,"subtract(281.09, 286.22)","greater(281.09, 286.22)","greater(281.09, 286.22)","The question asks whether the five-year total return of the 2019 peer group was greater than that of the 2018 peer group. The total return is represented by the final value in 2019 (281.09) compared to the 2018 peer group's final value (286.22). The correct comparison is a direct greater-than check between these two values. The Verification Agent's program correctly captures this comparison, and the Reasoning Agent's program incorrectly computes the difference instead of making the required comparison. The verifier's verdict and proposed program are correct.","greater(281.09, 286.22)",True
A_execution_correct_program_mismatch,3,16,RCL/2012/page_75.pdf-1,"assuming each continent has the same number of destinations , approximately how many destinations does each continent have?",65.0,"divide(455, const_7)","divide(455, 7)",True,"divide(455, 7)",True,"divide(455, 7)","divide(455, 7)","divide(455, 7)",True,"divide(455, 7)","divide(455, 7)","divide(455, 7)","The question asks for the approximate number of destinations per continent, given that there are 455 destinations across 7 continents. Dividing 455 by 7 yields the correct average number of destinations per continent. Both agents propose the same correct program, and the verification is valid. The calculation is mathematically sound and matches the evidence.","divide(455, 7)",True
A_execution_correct_program_mismatch,4,24,AAL/2016/page_8.pdf-4,what is the ratio of the total flight attendants to total maintenance personnel,1.59172,"divide(26900, 16900)","add(24700, 2200), add(14900, 2000), divide(#0, #1)",True,"divide(26900, 16900)",True,"divide(26900, 16900)","divide(26900, 16900)","divide(26900, 16900)",True,"divide(26900, 16900)","divide(26900, 16900)","divide(26900, 16900)","The question asks for the ratio of total flight attendants to total maintenance personnel. The evidence shows 26,900 flight attendants and 16,900 maintenance personnel. The correct calculation is divide(26900, 16900), which directly computes the ratio. Both agents agree, and the values are correctly extracted from the table. No percentage scaling is required as the question asks for a ratio, not a percentage.","divide(26900, 16900)",True
A_execution_correct_program_mismatch,5,38,GS/2017/page_179.pdf-4,"what is the total amount of stock options cancelled in millions during 2017 , 2016 and 2015?",12.1,"add(4.6, 5.5), add(#0, const_2)","add(4.6, 5.5), add(#0, 2.0)",True,"add(4.6, 5.5), add(#0, 2.0)",True,"add(4.6, 5.5), add(#0, 2.0)","add(4.6, 5.5), add(#0, 2.0)","add(4.6, 5.5), add(#0, 2.0)",True,"add(4.6, 5.5), add(#0, 2.0)","add(4.6, 5.5), add(#0, 2.0)","add(4.6, 5.5), add(#0, 2.0)","The evidence states that the firm cancelled 4.6 million, 5.5 million, and 2.0 million stock options in 2017, 2016, and 2015, respectively. The proposed program correctly adds these values: 4.6 + 5.5 = 10.1, then 10.1 + 2.0 = 12.1. The values are directly from the evidence, and the operations are correctly sequenced. No percentage scaling or unit conversion is needed as the question asks for the total in millions.","add(4.6, 5.5), add(#0, 2.0)",True
A_execution_failure,1,110,AMT/2016/page_49.pdf-3,"what is the growth rate in the price of shares from the highest value during the quarter ended december 31 , 2016 and the closing price on february 17 , 2017?",-0.08451,"subtract(108.11, 118.09), divide(#0, 118.09)","table_max(high, none), subtract(108.11, #0), divide(#1, #0)",False,"subtract(118.26, 108.11), divide(#0, 118.26)",False,"subtract(118.26, 108.11), divide(#0, 118.26)","subtract(108.11, 118.26), divide(#0, 118.26)","subtract(108.11, 118.26), divide(#0, 118.26)",False,"subtract(118.26, 108.11), divide(#0, 118.26)","subtract(108.11, 118.26), divide(#0, 118.26)","subtract(108.11, 118.26), divide(#0, 118.26)","The growth rate is calculated as (final value - initial value) / initial value. The highest share price during the quarter ended December 31, 2016, is $118.09 (from the table), not $118.26 (which is the high for September 30, 2016). The closing price on February 17, 2017, is $108.11. Since the final price is lower than the initial price, the growth rate should be negative. The correct calculation is (108.11 - 118.09) / 118.09. The Reasoning Agent used the wrong initial value ($118.26), and the Verification Agent's program uses the same incorrect value. The correct initial value is $118.09.","subtract(108.11, 118.09), divide(#0, 118.09)",True
A_execution_failure,2,114,MRO/2013/page_19.pdf-3,"what was average worldwide net acreage expiring in the total three year period , in millions?",3879.0,"table_sum(worldwide, none)","table_sum(net undeveloped acres expiring 2014, none), table_sum(net undeveloped acres expiring 2015, none), table_sum(net undeveloped acres expiring 2016, none), add(#0, #1), add(#2, #3), divide(#4, const_3)",False,"add(586, 3057), add(#0, 236), divide(#1, const_3)",False,"add(586, 3057), add(#0, 236), divide(#1, const_3)","add(586, 3057), add(#0, 236), divide(#1, const_3)","add(586, 3057), add(#0, 236), divide(#1, const_3)",False,"add(586, 3057), add(#0, 236), divide(#1, const_3)","add(586, 3057), add(#0, 236), divide(#1, const_3), divide(#2, const_1000)","add(586, 3057), add(#0, 236), divide(#1, const_3), divide(#2, const_1000)","The original evidence lists values in thousands, so the final result must be divided by 1000 to convert to millions. The Reasoning Agent's program correctly computes the average but fails to convert units. The Verification Agent's program correctly applies the unit conversion. The verifier's verdict 'disagree' is incorrect because the proposed program is actually correct.","add(586, 3057), add(#0, 236), divide(#1, const_3), divide(#2, const_1000)",False
A_execution_failure,3,159,DG/2010/page_136.pdf-1,what is the maximum depreciation rate that can be used for furniture fixtures and equipment?,33.33333,"divide(const_100, 3)","table_max(furniture fixtures and equipment, none)",False,"divide(const_1, 10)",False,"divide(const_1, 3)","divide(const_1, 3)","divide(const_1, 3)",False,"divide(const_1, 10)","divide(const_1, 3)","divide(const_1, 3)","The question asks for the maximum depreciation rate, which corresponds to the shortest useful life in the table. The table lists 'furniture fixtures and equipment' with a useful life of 3-10 years, so the maximum depreciation rate is based on the minimum useful life of 3 years. The rate is calculated as 1 divided by the useful life in years. Therefore, the correct calculation is divide(const_1, 3). The Verification Agent's program is correct.","divide(const_1, 3)",False
A_execution_failure,4,240,ETR/2017/page_143.pdf-1,"what was the sum of the annual long-term debt maturities outstanding as of december 31 , 2017 , for the next five years",4781374.0,"add(760000, 857679), add(#0, 898500), add(#1, 960764), add(#2, 1304431)","table_sum(amount, none)",False,"table_sum(2018, 2019, 2020, 2021, 2022)",False,"table_sum(2018, 2019, 2020, 2021, 2022)","table_sum(2018, 2019, 2020, 2021, 2022)","table_sum(2018, 2019, 2020, 2021, 2022)",False,"table_sum(2018, 2019, 2020, 2021, 2022)","table_sum(2018, 2019, 2020, 2021, 2022)","table_sum(2018, 2019, 2020, 2021, 2022)","The question asks for the sum of annual long-term debt maturities for the next five years as of December 31, 2017. The evidence table provides the amounts in thousands for 2018 through 2022. The correct operation is to sum these values. Both agents propose the same correct program, and the verifier confirms agreement. The program uses only allowed operations and correctly references the table values.","table_sum(2018, 2019, 2020, 2021, 2022)",False
A_execution_failure,5,364,AAL/2010/page_72.pdf-1,from 2016-2020 what was the ratio of the pension to the retiree medical and other service costs,5.01416,"divide(4959, 989)","table_sum(pension, none), table_sum(retiree medical and other, none), divide(#0, #1)",False,"divide(4959, 989)",True,"divide(4959, 989)","divide(4959, 989)","divide(4959, 989)",True,"divide(4959, 989)","divide(4959, 989)","divide(4959, 989)","The question asks for the ratio of pension costs to retiree medical and other service costs from 2016-2020. The evidence shows total pension costs of $4,959 million and total retiree medical and other costs of $989 million over the same period. The correct calculation is the ratio of these totals, which is divide(4959, 989). Both agents correctly identified this, and the verification is valid.","divide(4959, 989)",True
A_invalid_program,1,106,CME/2010/page_69.pdf-2,what is the estimated percentage of revolving credit facility in relation with the total senior credit facility in millions?,0.67536,"multiply(1.4, const_1000), divide(945.5, #0)","divide(945.5, add(420.5, 945.5)), multiply(#0, const_100)",False,"divide(945.5, 1400.0), multiply(#0, const_100)",False,"divide(945.5, 1400.0), multiply(#0, const_100)","divide(945.5, 1400.0), multiply(#0, const_100)","divide(945.5, 1400.0), multiply(#0, const_100)",False,"add(420.5, 945.5), divide(945.5, #0), multiply(#1, const_100)","add(420.5, 945.5), divide(945.5, #0), multiply(#1, const_100)","add(420.5, 945.5), divide(945.5, #0), multiply(#1, const_100)","The reasoning and verification agents both propose the same program, which correctly calculates the percentage of the revolving credit facility relative to the total senior credit facility. The values 420.5 (term loan) and 945.5 (revolving credit facility) are directly from the evidence. The total is computed as their sum, and the revolving facility is divided by the total. Multiplying by 100 scales the result to a percentage, which matches the question's request for 'estimated percentage'. All operations are valid and sequential.","add(420.5, 945.5), divide(945.5, #0), multiply(#1, const_100)",False
A_invalid_program,2,150,ANET/2015/page_156.pdf-2,what is the current portion of the present value of lease obligations?,0.0314,"divide(1336, 42546)",1336,False,"divide(1336, 42546)",True,1336,1336,1336,False,1336,1336,1336,"The financial evidence explicitly states 'less current portion | -1336 ( 1336 )' under the 'present value of obligation' section, directly indicating that the current portion of the present value of lease obligations is $1,336 thousand. Both agents correctly identify this value, and the evidence confirms it. No calculation is needed as the value is directly provided.",1336,False
A_invalid_program,3,192,PKG/2013/page_88.pdf-2,as of december 2013 what was the value of the equity compensation plans approved by security holders to be issued upon exercise of outstanding options warrants and rights,3739366.45,"multiply(151945, 24.61)",151945,False,151945,False,151945,151945,151945,False,151945,151945,151945,"The question asks for the value of equity compensation plans approved by security holders to be issued upon exercise of outstanding options, warrants, and rights as of December 2013. The financial evidence shows that the number of securities to be issued upon exercise of outstanding options, warrants, and rights under equity compensation plans approved by security holders is explicitly listed as 151,945 in Column A of the table. This value is directly provided in the evidence and matches both the Reasoning Agent's and Verification Agent's programs. No calculation is needed; the value is directly observable.",151945,False
A_invalid_program,4,234,SNA/2012/page_110.pdf-3,"what is the total fair value of the non-vested performance awards at beginning of year , ( in thousands ) ?",658.13,"subtract(707, 48.87)",707,False,"multiply(707, 48.87)",False,"multiply(707, 48.87)","multiply(707, 48.87)","multiply(707, 48.87)",False,"multiply(707, 48.87)","multiply(707, 48.87)","multiply(707, 48.87)","The question asks for the total fair value of non-vested performance awards at the beginning of the year, in thousands. The table shows 707 (in thousands) shares and a fair value price per share of $48.87. Multiplying these gives the total fair value. Both agents agree, and the calculation is correct: 707 thousand shares × $48.87 per share = total fair value in dollars. No percentage scaling or unit conversion is needed, as the result is already in dollars and the question does not ask for a percentage. The values are directly from the evidence.","multiply(707, 48.87)",False
A_invalid_program,5,402,FIS/2006/page_31.pdf-2,what portion of the total leased locations are located in united states?,0.4375,"add(63, 81), divide(63, #0)","add(57, 26, 22, 19, 9, 8, 7, 63), add(#0, 81), divide(81, #1)",False,"add(57, 26), add(#0, 22), add(#1, 19), add(#2, 9), add(#3, 8), add(#4, 7), add(#5, 63), add(#6, 81), divide(#6, #7)",False,"add(57, 26), add(#0, 22), add(#1, 19), add(#2, 9), add(#3, 8), add(#4, 7), add(#5, 63), add(#6, 81), divide(#5, #7)","add(57, 26), add(#0, 22), add(#1, 19), add(#2, 9), add(#3, 8), add(#4, 7), add(#5, 63), add(#6, 81), divide(#5, #7)","add(57, 26), add(#0, 22), add(#1, 19), add(#2, 9), add(#3, 8), add(#4, 7), add(#5, 63), add(#6, 81), divide(#5, #7)",False,"add(57, 26), add(#0, 22), add(#1, 19), add(#2, 9), add(#3, 8), add(#4, 7), add(#5, 63), add(#6, 81), divide(#6, #7)","add(57, 26), add(#0, 22), add(#1, 19), add(#2, 9), add(#3, 8), add(#4, 7), add(#5, 63), add(#6, 81), divide(#5, #7)","add(57, 26), add(#0, 22), add(#1, 19), add(#2, 9), add(#3, 8), add(#4, 7), add(#5, 63), add(#6, 81), divide(#5, #7)","The Verification Agent's program is correct. The question asks for the portion of leased locations in the United States, so the numerator must be the total U.S. locations (sum of all listed states), which is #5 (63 from 'other' plus the sum of the state values). The denominator is the total locations, including U.S. and international (81). The Reasoning Agent incorrectly uses #6 (the sum of U.S. locations) as the numerator, which would give the portion of U.S. locations within U.S. locations, which is invalid. The Verification Agent correctly uses #5 (total U.S. locations) as the numerator and #7 (total locations) as the denominator.","add(57, 26), add(#0, 22), add(#1, 19), add(#2, 9), add(#3, 8), add(#4, 7), add(#5, 63), add(#6, 81), divide(#5, #7)",False
A_only_correct,1,8,MO/2016/page_19.pdf-1,did altria outperform the s&p 500?,yes,"greater(286.61, 198.09)","subtract(286.61, 100.00), subtract(198.09, 100.00), divide(#0, 100.00), divide(#1, 100.00), greater(#2, #3)",True,"divide(286.61, 198.09)",False,"divide(286.61, 198.09)","divide(286.61, 198.09)","divide(286.61, 198.09)",False,"divide(286.61, 198.09)","divide(286.61, 198.09)","divide(286.61, 198.09)","The question asks whether Altria outperformed the S&P 500, which requires comparing their cumulative total shareholder returns. The evidence shows Altria's return was $286.61 and the S&P 500's was $198.09 as of December 2016. The correct calculation is the ratio of Altria's return to the S&P 500's return. The proposed program divide(286.61, 198.09) correctly computes this ratio, which indicates outperformance (greater than 1). No percentage scaling is needed as the question is about relative performance, not a percentage value.","divide(286.61, 198.09)",False
A_only_correct,2,32,AAPL/2006/page_100.pdf-3,"what was the greatest provision for income taxes , in millions?",829.0,"table_max(provision for income taxes, none)","table_max(provision for income taxes, none)",True,"table_max(829, 480, 104)",False,table_max(provision for income taxes),table_max(provision for income taxes),table_max(provision for income taxes),False,table_max(provision for income taxes),table_max(provision for income taxes),table_max(provision for income taxes),"The question asks for the greatest provision for income taxes in millions. The evidence table shows the 'provision for income taxes' values for 2006, 2005, and 2004 as $829, $480, and $104 million respectively. The maximum value is $829 million, which corresponds to 2006. The table_max operation correctly identifies this value. Both agents agree, and the operation is valid and correctly applied.",table_max(provision for income taxes),False
