dataset_index,example_id,question,gold_answer,gold_program,execution_correct_pattern,pattern_label,number_correct_architectures,a_execution_correct,a_program_correct,a_program_valid,a_executable,a_failure_category,a_generated_program,a_predicted_answer,b_execution_correct,b_program_correct,b_program_valid,b_executable,b_failure_category,b_generated_program,b_predicted_answer,c_execution_correct,c_program_correct,c_program_valid,c_executable,c_failure_category,c_generated_program,c_predicted_answer,d_execution_correct,d_program_correct,d_program_valid,d_executable,d_failure_category,d_generated_program,d_predicted_answer,c_reasoning_program,c_reasoning_correct,c_independent_verifier_program,c_independent_verifier_correct,c_verifier_verdict,c_verifier_corrected_error,c_verifier_broke_correct,d_reasoning_program,d_reasoning_correct,d_independent_verifier_program,d_independent_verifier_correct,d_verifier_final_program,d_verifier_final_correct,d_coordinator_decision,d_coordinator_corrected_error,d_coordinator_broke_correct
0,ETR/2016/page_23.pdf-2,what is the net change in net revenue during 2015 for entergy corporation?,94.0,"subtract(5829, 5735)",ABCD,all_correct,4,True,True,True,True,program_correct,"subtract(5829, 5735)",94.0,True,True,True,True,program_correct,"subtract(5829, 5735)",94.0,True,True,True,True,program_correct,"subtract(5829, 5735)",94.0,True,True,True,True,program_correct,"subtract(5829, 5735)",94.0,"subtract(5829, 5735)",True,"subtract(5829, 5735)",True,agree,False,False,"subtract(5829, 5735)",True,"subtract(5829, 5735)",True,"subtract(5829, 5735)",True,"The net change in net revenue from 2014 to 2015 is correctly calculated as the difference between 2015 net revenue and 2014 net revenue. Both agents correctly identify the values from the table and perform the subtraction in the right direction. The result is a net increase of $94 million, which is the correct net change.",False,False
1,INTC/2015/page_41.pdf-4,what percentage of total facilities as measured in square feet are leased?,0.14464,"divide(8.1, 56.0)",,none_correct,0,False,False,True,True,executable_wrong_answer,"divide(8.1, 56.0), multiply(#0, const_100)",14.46429,False,False,True,True,executable_wrong_answer,"divide(8.1, 56.0), multiply(#0, const_100)",14.46429,False,False,True,True,executable_wrong_answer,"divide(8.1, 56.0), multiply(#0, const_100)",14.46429,False,False,True,True,executable_wrong_answer,"divide(8.1, 56.0), multiply(#0, const_100)",14.46429,"divide(8.1, 56.0), multiply(#0, const_100)",False,"divide(8.1, 56.0), multiply(#0, const_100)",False,agree,False,False,"divide(8.1, 56.0), multiply(#0, const_100)",False,"divide(8.1, 56.0), multiply(#0, const_100)",False,"divide(8.1, 56.0), multiply(#0, const_100)",False,"The reasoning and verification agents both correctly calculate the percentage of total facilities that are leased by dividing the leased facilities (8.1 million square feet) by the total facilities (56.0 million square feet) and multiplying by 100 to express the result as a percentage. The values are correctly extracted from the evidence table, and the arithmetic relationship is accurate. The multiplication by const_100 is appropriate because the question asks for a percentage.",False,False
2,ADI/2011/page_61.pdf-2,what is the percentage change in cash flow hedges in 2011 compare to the 2010?,0.09864,"subtract(153.7, 139.9), divide(#0, 139.9)",,none_correct,0,False,False,True,True,executable_wrong_answer,"subtract(153.7, 139.9), divide(#0, 139.9), multiply(#1, const_100)",9.86419,False,False,True,True,executable_wrong_answer,"subtract(153.7, 139.9), divide(#0, 139.9), multiply(#1, const_100)",9.86419,False,False,True,True,executable_wrong_answer,"subtract(153.7, 139.9), divide(#0, 139.9), multiply(#1, const_100)",9.86419,False,False,True,True,executable_wrong_answer,"subtract(153.7, 139.9), divide(#0, 139.9), multiply(#1, const_100)",9.86419,"divide(153.7, 139.9), multiply(#0, const_100)",False,"subtract(153.7, 139.9), divide(#0, 139.9), multiply(#1, const_100)",False,disagree,False,False,"divide(153.7, 139.9), multiply(#0, const_100)",False,"subtract(153.7, 139.9), divide(#0, 139.9), multiply(#1, const_100)",False,"subtract(153.7, 139.9), divide(#0, 139.9), multiply(#1, const_100)",False,"The percentage change requires subtracting the base value (2010) from the new value (2011), dividing by the base value, and scaling to a percentage. The Reasoning Agent incorrectly used division first, then multiplied by 100, which is invalid in sequential FinQA format. The Verification Agent's program correctly computes the difference, divides by the 2010 value, and multiplies by 100 for percentage scaling.",False,False
3,FIS/2010/page_70.pdf-2,what portion of total purchase price is related to stock awards?,0.02899,"divide(121.4, 4187.8)",BCD,correct_BCD,3,False,False,True,True,executable_wrong_answer,"divide(121.4, 4187.8), multiply(#0, const_100)",2.8989,True,True,True,True,program_correct,"divide(121.4, 4187.8)",0.02899,True,True,True,True,program_correct,"divide(121.4, 4187.8)",0.02899,True,True,True,True,program_correct,"divide(121.4, 4187.8)",0.02899,"divide(121.4, 4187.8)",True,"divide(121.4, 4187.8)",True,agree,False,False,"divide(121.4, 4187.8)",True,"divide(121.4, 4187.8)",True,"divide(121.4, 4187.8)",True,"The question asks for the portion of the total purchase price related to stock awards, which is correctly calculated as the ratio of stock awards value to total purchase price. Both agents compute this correctly as divide(121.4, 4187.8). The result is a decimal ratio, not a percentage, so no multiplication by 100 is needed. The values are correctly extracted from the evidence.",False,False
4,MAS/2017/page_27.pdf-2,what was the difference in percentage cumulative total shareholder return on masco common stock versus the s&p 500 index for the five year period ended 2017?,1.1197,"subtract(318.46, const_100), divide(#0, const_100), subtract(206.49, const_100), divide(#2, const_100), subtract(#1, #3)",,none_correct,0,False,False,True,True,executable_wrong_answer,"subtract(318.46, 206.49), divide(#0, 206.49), multiply(#1, const_100)",54.22539,False,False,True,True,executable_wrong_answer,"subtract(318.46, 206.49)",111.97,False,False,True,True,executable_wrong_answer,"subtract(318.46, 206.49)",111.97,False,False,True,True,executable_wrong_answer,"subtract(318.46, 206.49), divide(#0, 206.49), multiply(#1, const_100)",54.22539,"subtract(318.46, 206.49)",False,"subtract(318.46, 206.49)",False,agree,False,False,"subtract(318.46, 206.49)",False,"subtract(318.46, 206.49)",False,"subtract(318.46, 206.49)",False,"The question asks for the difference in percentage cumulative total shareholder return, which requires calculating the percentage difference between the two values. The Reasoning Agent and Verification Agent both correctly identify the final values (318.46 for Masco and 206.49 for S&P 500) and compute their difference, but they fail to express the result as a percentage. The correct approach is to compute the percentage difference by dividing the difference by the S&P 500 value and then scaling by 100 to express it as a percentage. The final program must include this percentage scaling.",False,False
5,SYY/2006/page_71.pdf-1,"what was the percentage change in total rental expense under operating leases from july 2 , 2005 to july 1 , 2006?",0.06757,"subtract(92710000, 86842000), divide(#0, 86842000)",,none_correct,0,False,False,True,True,executable_wrong_answer,"subtract(100690000, 92710000), divide(#0, 92710000), multiply(#1, const_100)",8.60749,False,False,True,True,executable_wrong_answer,"subtract(100690000, 92710000), divide(#0, 92710000), multiply(#1, const_100)",8.60749,False,False,True,True,executable_wrong_answer,"subtract(100690000, 92710000), divide(#0, 92710000), multiply(#1, const_100)",8.60749,False,False,True,True,executable_wrong_answer,"subtract(100690000, 92710000), divide(#0, 92710000), multiply(#1, const_100)",8.60749,"subtract(100690000, 92710000), divide(#0, 92710000), multiply(#1, const_100)",False,"subtract(100690000, 92710000), divide(#0, 92710000), multiply(#1, const_100)",False,agree,False,False,"subtract(100690000, 92710000), divide(#0, 92710000), multiply(#1, const_100)",False,"subtract(100690000, 92710000), divide(#0, 92710000), multiply(#1, const_100)",False,"subtract(100690000, 92710000), divide(#0, 92710000), multiply(#1, const_100)",False,"Both agents propose the same correct program: calculate the difference in rental expenses, divide by the 2005 value, and multiply by 100 to express as a percentage. The values exist in the evidence, subtraction direction is correct (2006 - 2005), denominator is the base year (2005), and multiplying by 100 is appropriate for percentage change.",False,False
6,AES/2010/page_227.pdf-3,what percent of total recourse debt is current?,0.10039,"divide(463, 4612)",,none_correct,0,False,False,True,True,executable_wrong_answer,"divide(463, 4612), multiply(#0, const_100)",10.03903,False,False,True,True,executable_wrong_answer,"divide(463, 4612), multiply(#0, const_100)",10.03903,False,False,True,True,executable_wrong_answer,"divide(463, 4612), multiply(#0, const_100)",10.03903,False,False,True,True,executable_wrong_answer,"divide(463, 4612), multiply(#0, const_100)",10.03903,"divide(463, 4612), multiply(#0, const_100)",False,"divide(463, 4612), multiply(#0, const_100)",False,agree,False,False,"divide(463, 4612), multiply(#0, const_100)",False,"divide(463, 4612), multiply(#0, const_100)",False,"divide(463, 4612), multiply(#0, const_100)",False,"The Reasoning Agent and Verification Agent both propose the same program, which correctly calculates the percentage of total recourse debt that is current by dividing the 2011 maturity ($463 million) by the total recourse debt ($4612 million) and multiplying by 100 to express as a percentage. The values are correctly extracted from the table, the arithmetic is correct, and the percentage scaling is appropriate. The program is sequential and uses only allowed operations.",False,False
7,GS/2015/page_188.pdf-2,what percentage of future minimum rental payments are due in 2018?,0.11689,"divide(301, 2575)",,none_correct,0,False,False,True,True,executable_wrong_answer,"divide(301, 2575), multiply(#0, const_100)",11.68932,False,False,True,True,executable_wrong_answer,"divide(301, 2575), multiply(#0, const_100)",11.68932,False,False,True,True,executable_wrong_answer,"divide(301, 2575), multiply(#0, const_100)",11.68932,False,False,True,True,executable_wrong_answer,"divide(301, 2575), multiply(#0, const_100)",11.68932,"divide(301, 2575), multiply(#0, const_100)",False,"divide(301, 2575), multiply(#0, const_100)",False,agree,False,False,"divide(301, 2575), multiply(#0, const_100)",False,"divide(301, 2575), multiply(#0, const_100)",False,"divide(301, 2575), multiply(#0, const_100)",False,The reasoning and verification agents both propose the correct calculation: dividing the 2018 rental payment by the total future minimum rental payments and multiplying by 100 to express as a percentage. The values 301 (2018) and 2575 (total) are correctly extracted from the table. The percentage scaling is appropriate as the question asks for a percentage. The program is sequential and uses only allowed operations.,False,False
8,MO/2016/page_19.pdf-1,did altria outperform the s&p 500?,yes,"greater(286.61, 198.09)",A,correct_A,1,True,False,True,True,execution_correct_program_mismatch,"subtract(286.61, 100.00), subtract(198.09, 100.00), divide(#0, 100.00), divide(#1, 100.00), greater(#2, #3)",yes,False,False,True,True,executable_wrong_answer,"divide(286.61, 198.09)",1.44687,False,False,True,True,executable_wrong_answer,"divide(286.61, 198.09)",1.44687,False,False,True,True,executable_wrong_answer,"divide(286.61, 198.09)",1.44687,"divide(286.61, 198.09)",False,"divide(286.61, 198.09)",False,agree,False,False,"divide(286.61, 198.09)",False,"divide(286.61, 198.09)",False,"divide(286.61, 198.09)",False,"The question asks whether Altria outperformed the S&P 500, which requires comparing their cumulative total shareholder returns. The evidence shows Altria's return was $286.61 and the S&P 500's was $198.09 as of December 2016. The correct calculation is the ratio of Altria's return to the S&P 500's return. The proposed program divide(286.61, 198.09) correctly computes this ratio, which indicates outperformance (greater than 1). No percentage scaling is needed as the question is about relative performance, not a percentage value.",False,False
9,CMCSA/2015/page_112.pdf-2,what was the change in unrecognized tax benefits from the end of 2014 to the end of 2015?,-35.0,"subtract(1136, 1171)",ACD,correct_ACD,3,True,True,True,True,program_correct,"subtract(1136, 1171)",-35.0,False,False,True,True,executable_wrong_answer,"subtract(1171, 1136)",35.0,True,True,True,True,program_correct,"subtract(1136, 1171)",-35.0,True,True,True,True,program_correct,"subtract(1136, 1171)",-35.0,"subtract(1171, 1136)",False,"subtract(1136, 1171)",True,disagree,True,False,"subtract(1136, 1171)",True,"subtract(1136, 1171)",True,"subtract(1136, 1171)",True,"The change in unrecognized tax benefits from the end of 2014 to the end of 2015 is correctly calculated as the difference between the December 31, 2015 balance and the December 31, 2014 balance. The values $1,136 million (2015) and $1,171 million (2014) are directly from the table. The subtraction direction is correct: later year minus earlier year. No percentage scaling or unit conversion is needed; the question asks for the change, not a rate. Both agents agree and the calculation is valid.",False,False
